,bayesian,evolutionary,grimtrigger,metalearner,minimax,nash,predator,switcher,titfortat,zerosum
bayesian,,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
evolutionary,0.0,,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0
grimtrigger,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0
metalearner,0.0,0.0,0.0,,0.0,0.0,100.0,0.0,100.0,0.0
minimax,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,100.0,0.0
nash,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0
predator,100.0,100.0,0.0,0.0,0.0,100.0,,0.0,0.0,100.0
switcher,100.0,100.0,0.0,0.0,0.0,0.0,100.0,,100.0,0.0
titfortat,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0
zerosum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,
